text,current_prediction,suggested_correction,reason
"Contains gluten, sesame, soybeans","Gluten - indexes: [9,15] - text: gluten
Sesame - indexes: [17,23] - text: sesame
Soybeans - indexes: [25,33] - text: soybeans",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains fish, peanuts","Fish - indexes: [9,13] - text: fish
Peanuts - indexes: [15,22] - text: peanuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Beef, chicken, king prawns & roast duck with vegetables Crustaceans","Crustaceans - indexes: [56,67] - text: Crustaceans",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Cooked in butter with aromatic spices, fresh cream and almond, this mild variation will be enjoyed by everyone.
Allergens Info: Dairy","Dairy - indexes: [128,133] - text: Dairy",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Contains eggs, gluten, milk, nuts","Eggs - indexes: [9,13] - text: eggs
Gluten - indexes: [15,21] - text: gluten
Dairy - indexes: [23,27] - text: milk
Nuts - indexes: [29,33] - text: nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Cumberland sausages, wholegrain mustard & bacon mash with
caramelised onion gravy","Mustard - indexes: [32,39] - text: mustard",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"(with Onions, Carrots, Baby Corn & Bamboo Shoots),Nuts","Nuts - indexes: [50,54] - text: Nuts",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
140. Mixed Vegetables in Yellow Bean Sauce,"Soybeans - indexes: [37,42] - text: Sauce",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
"Cooked with coconut, fresh cream & mango. Contains: Nuts, Dairy. Vegan dishes does not contain dairy","Nuts - indexes: [52,56] - text: Nuts
Dairy - indexes: [58,63] - text: Dairy
Dairy - indexes: [95,100] - text: dairy","[{'span': 'Contains: Nuts, Dairy.', 'allergen': 'Nuts', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}, {'span': 'Contains: Nuts, Dairy.', 'allergen': 'Dairy', 'certainty': 'High', 'explanation': 'Explicitly declared as allergen'}]","Mismatch between predicted allergens {'100] - text: dairy', '63] - text: Dairy\nDairy - indexes: [95', 'Nuts - indexes: [52', '56] - text: Nuts\nDairy - indexes: [58'} and extracted allergens {'Dairy', 'Nuts'}"
"Super spicy wok fried fresh flat rice noodle dish (aka 'Drunken Noodles') served with prawns, egg, mushrooms, aubergines, fine beans, Thai basil & chillies","Eggs - indexes: [94,97] - text: egg",No Allergens Found,Prediction includes allergens but text has no explicit allergen format
